1	0.041479
2	0.030387
3	0.013909
4	0.010996
5	0.007822
6	0.010349
7	0.009246
8	0.007979
Processes: 1	Threads: 1	Time: 0.039569
Processes: 2	Threads: 1	Time: 0.019124
Processes: 3	Threads: 1	Time: 0.018061
Processes: 3	Threads: 2	Time: 0.013542
Processes: 3	Threads: 3	Time: 0.011710
Processes: 3	Threads: 4	Time: 0.016308
Processes: 3	Threads: 5	Time: 0.016006
Processes: 3	Threads: 6	Time: 0.014587
Processes: 3	Threads: 7	Time: 0.007291
Processes: 3	Threads: 8	Time: 0.006364
Processes: 4	Threads: 1	Time: 0.014723
Processes: 4	Threads: 2	Time: 0.011490
Processes: 4	Threads: 3	Time: 0.022185
Processes: 4	Threads: 4	Time: 0.014150
Processes: 4	Threads: 5	Time: 0.009809
Processes: 4	Threads: 6	Time: 0.013060
Processes: 4	Threads: 7	Time: 0.009534
Processes: 4	Threads: 8	Time: 0.005061
Processes: 5	Threads: 1	Time: 0.009808
Processes: 5	Threads: 2	Time: 0.017880
Processes: 5	Threads: 3	Time: 0.011798
Processes: 5	Threads: 4	Time: 0.019852
Processes: 5	Threads: 5	Time: 0.009155
Processes: 5	Threads: 6	Time: 0.011924
Processes: 5	Threads: 7	Time: 0.013565
Processes: 5	Threads: 8	Time: 0.006165
Processes: 6	Threads: 1	Time: 0.025235
Processes: 6	Threads: 2	Time: 0.016050
Processes: 6	Threads: 3	Time: 0.031544
Processes: 6	Threads: 4	Time: 0.015156
Processes: 6	Threads: 5	Time: 0.016490
Processes: 6	Threads: 6	Time: 0.027665
Processes: 6	Threads: 7	Time: 0.019489
Processes: 6	Threads: 8	Time: 0.020015
Processes: 7	Threads: 1	Time: 0.011879
Processes: 7	Threads: 2	Time: 0.014634
Processes: 7	Threads: 3	Time: 0.022338
Processes: 7	Threads: 4	Time: 0.026897
Processes: 7	Threads: 5	Time: 0.010541
Processes: 7	Threads: 6	Time: 0.005195
Processes: 7	Threads: 7	Time: 0.008126
Processes: 7	Threads: 8	Time: 0.010500
Processes: 8	Threads: 1	Time: 0.015758
Processes: 8	Threads: 2	Time: 0.017703
Processes: 8	Threads: 3	Time: 0.009788
Processes: 8	Threads: 4	Time: 0.009672
Processes: 8	Threads: 5	Time: 0.011313
Processes: 8	Threads: 6	Time: 0.010614
Processes: 8	Threads: 7	Time: 0.005649
Processes: 8	Threads: 8	Time: 0.003600
